image,bodymesh,top,bottom,left,right,sentence,seg,mask,texture
/home/datasets/fullbody_train_sample/image/00001.png,/home/datasets/fullbody_train_sample/bodymesh/0000.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0000.png,/home/datasets/fullbody_train_sample/mask/0000.png,/home/datasets/fullbody_train_sample/texture/0000.png
/home/datasets/fullbody_train_sample/image/00002.png,/home/datasets/fullbody_train_sample/bodymesh/0001.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0001.png,/home/datasets/fullbody_train_sample/mask/0001.png,/home/datasets/fullbody_train_sample/texture/0001.png
/home/datasets/fullbody_train_sample/image/00003.png,/home/datasets/fullbody_train_sample/bodymesh/0002.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0002.png,/home/datasets/fullbody_train_sample/mask/0002.png,/home/datasets/fullbody_train_sample/texture/0002.png
/home/datasets/fullbody_train_sample/image/00004.png,/home/datasets/fullbody_train_sample/bodymesh/0003.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0003.png,/home/datasets/fullbody_train_sample/mask/0003.png,/home/datasets/fullbody_train_sample/texture/0003.png
/home/datasets/fullbody_train_sample/image/00005.png,/home/datasets/fullbody_train_sample/bodymesh/0004.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0004.png,/home/datasets/fullbody_train_sample/mask/0004.png,/home/datasets/fullbody_train_sample/texture/0004.png
/home/datasets/fullbody_train_sample/image/00006.png,/home/datasets/fullbody_train_sample/bodymesh/0005.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0005.png,/home/datasets/fullbody_train_sample/mask/0005.png,/home/datasets/fullbody_train_sample/texture/0005.png
/home/datasets/fullbody_train_sample/image/00007.png,/home/datasets/fullbody_train_sample/bodymesh/0006.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0006.png,/home/datasets/fullbody_train_sample/mask/0006.png,/home/datasets/fullbody_train_sample/texture/0006.png
/home/datasets/fullbody_train_sample/image/00008.png,/home/datasets/fullbody_train_sample/bodymesh/0007.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0007.png,/home/datasets/fullbody_train_sample/mask/0007.png,/home/datasets/fullbody_train_sample/texture/0007.png
/home/datasets/fullbody_train_sample/image/00009.png,/home/datasets/fullbody_train_sample/bodymesh/0008.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0008.png,/home/datasets/fullbody_train_sample/mask/0008.png,/home/datasets/fullbody_train_sample/texture/0008.png
/home/datasets/fullbody_train_sample/image/00010.png,/home/datasets/fullbody_train_sample/bodymesh/0009.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0009.png,/home/datasets/fullbody_train_sample/mask/0009.png,/home/datasets/fullbody_train_sample/texture/0009.png
/home/datasets/fullbody_train_sample/image/00011.png,/home/datasets/fullbody_train_sample/bodymesh/0010.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0010.png,/home/datasets/fullbody_train_sample/mask/0010.png,/home/datasets/fullbody_train_sample/texture/0010.png
/home/datasets/fullbody_train_sample/image/00012.png,/home/datasets/fullbody_train_sample/bodymesh/0011.png,0,360,0,640,Human is grasping a object,/home/datasets/fullbody_train_sample/seg/0011.png,/home/datasets/fullbody_train_sample/mask/0011.png,/home/datasets/fullbody_train_sample/texture/0011.png
